colocating with mcf
gmm
2379235757	3124989754	0.761358	8.945060
0.006719	2378819403	607208458411	0.826789	35.361305
0.007054	2376373066	610074344417	0.829193	34.978817
0.006853	2376140397	612981875087	0.817236	35.529362
0.006665	2378406559	615832755145	0.834271	34.987240
0.007072	2378136759	618732040309	0.820249	35.342052
0.006842	2378916352	621624324160	0.822504	35.391361
0.006841	2378344382	624274200425	0.897530	32.701271
0.006538	2377638087	627144033218	0.828494	35.298279
0.007119	2378057020	630030315772	0.823917	35.201767
0.006842	2299357591	632913284562	0.799035	35.374119
0.007071	2329108434	635827682309	0.800544	35.466827
0.006819	2325459564	638468440887	0.880603	32.764008
0.006679	2377941470	641384960291	0.815335	35.537415
0.006657	2378325127	644256417036	0.828264	35.309071
0.007144	2377813321	647165776735	0.817298	35.419277
0.006854	2378246066	650014064525	0.834974	34.920357
0.006901	2378337153	652865391651	0.834116	34.969872
0.007078	2378137010	655783252687	0.815028	35.493862
0.006693	2378158940	658647331213	0.830340	35.185528
0.007116	2376387414	661516313106	0.828303	34.984257
0.006884	2375937050	664413389954	0.820115	35.367977
0.006701	2378981440	666998547815	0.920246	32.021515
0.006659	2378091812	669904992958	0.818213	35.495533
0.006715	2378280766	672737614601	0.839604	34.902206
0.007237	2378183306	675557371910	0.843400	34.358292
0.006797	2375855541	678429128251	0.827318	35.298927
0.007117	2375882518	681289535937	0.830610	34.907349
0.006910	2256759805	684171349949	0.783563	35.395397
0.007049	2279787987	687039425633	0.794884	35.044125
0.006862	2341686296	689951765295	0.804057	35.453590
0.006729	2375731731	692809593904	0.831307	35.127663
0.007151	2377936194	695704693955	0.821366	35.284580
0.006913	2377974520	698563263424	0.831876	35.089706
0.007002	2235045975	701424249025	0.781782	34.692474
0.005770	2246421564	704283647689	0.787094	35.067608
0.007072	2359388814	707179860703	0.814646	35.264824
0.006913	2377841378	710062806828	0.824796	35.272991
0.006915	2378159973	712936985602	0.827422	35.224358
0.007157	2378004267	715846897880	0.817208	35.413994
0.006726	2378165455	718711865993	0.830084	35.237003
0.007163	2376698832	721584732647	0.827292	34.981750
0.006890	2375070772	724205113538	0.906384	32.482540
0.006777	2377588065	727094041883	0.823000	35.298927
0.006794	2378188099	729927010890	0.839468	34.804760
0.007236	2377799008	732839283976	0.816475	35.421120
0.006701	2378257839	735679094028	0.837471	34.944584
0.007174	2375812754	738575543711	0.820250	35.255142
0.006878	2375581464	741444108158	0.828143	35.227745
0.007037	2197266044	744310378704	0.766829	34.854149
0.005669	2234173855	747219718118	0.767932	35.429314
0.006703	2378194424	750089183816	0.828794	35.264084
0.007164	2375909844	752978187901	0.822398	35.217663
0.006935	2375618388	755855201637	0.825724	35.305481
0.007003	2377870303	758738586587	0.824680	35.180317
0.007043	2377790932	761621338581	0.824834	35.279316
0.006937	2373436413	764204917471	0.918662	31.471561
0.007326	2374323005	766372420114	1.095419	26.482140
0.006160	2373840571	768981686621	0.909773	31.907215
0.007819	2373343487	771528146372	0.932017	30.797695
0.007482	2278310288	774371472449	0.802741	34.905937
0.007071	2297237717	777201036627	0.812856	34.451439
0.006845	2376208864	779990651819	0.853434	34.280777
0.007250	2375011483	782866536251	0.826380	34.552223
0.005812	2374240480	785501645176	0.901641	32.451073
0.007051	2209435933	788407178712	0.760851	34.829903
0.005638	2218745660	791086862936	0.827988	32.529842
0.007594	2375317465	793690225516	0.912404	31.619270
0.007237	2374675623	795976459587	1.038684	27.790449
0.006514	2371780299	798164836266	1.084896	26.632317
0.006099	2252342203	800598963015	0.927125	29.503084
0.007002	2258048452	803046641232	0.922527	29.577024
0.006674	2377597267	805501009758	0.968721	29.912096
0.007184	2377141937	808113573909	0.909888	31.726891
0.006775	2377286952	810663527506	0.932286	31.006399
0.006947	2377011675	812983565681	1.024557	28.552588
0.006267	2376449685	815570789044	0.918533	31.615925
0.007136	2376362815	818208919925	0.900775	32.001736
0.006836	2373738961	820746428730	0.935460	30.829479
0.006760	2374075186	823359047980	0.908695	31.785072
0.006783	2374147510	826098618589	0.866613	33.469875
0.007108	2165416269	828811036145	0.799107	33.129955
0.007181	2350279685	831419360009	0.901763	31.761393
0.007361	2344017043	834231528322	0.833701	33.849712
0.006275	2360132408	837026448381	0.844436	34.202065
0.007309	2372098380	839514429245	0.953423	30.791588
0.007075	2262434608	842310734736	0.809637	34.321392
0.007136	2361097222	845066088034	0.856913	33.751282
0.007483	2374386105	847816545972	0.863269	33.569702
0.007220	2373429462	850590697096	0.855552	33.947178
0.007356	2375657695	853366328001	0.855898	34.050163
0.007079	2374129349	856186778196	0.841755	34.444244
0.007045	2362775556	858948935775	0.855409	33.715340
0.007060	2325004852	861840358409	0.805579	35.470490
0.007059	2331767636	864530723008	0.866711	33.121651
0.006097	2321589166	867503663081	0.781039	35.904831
0.005620	2329683590	870432372264	0.795464	35.854298
0.006624	2334875928	873251667673	0.828177	34.566727
0.006861	2336965993	876164397751	0.802328	35.556992
0.006429	2340739707	879035035224	0.815408	35.317089
0.006840	2376507698	881949325705	0.815467	35.513115
0.006646	2376497849	884833657459	0.823934	35.206303
0.006500	2377516186	887686666224	0.833337	35.117481
0.006894	2376421751	890609624079	0.813019	35.608269
0.006646	2376972612	893249481332	0.900417	32.758713
0.006474	2378843907	896177789325	0.812361	35.662106
0.006498	2376413327	899052283249	0.826724	35.401962
0.006949	2377129127	901977478747	0.812639	35.594734
0.006591	2378957198	904824465479	0.835605	34.997284
0.006768	2378616102	907692481190	0.829360	35.053383
0.006847	2378812259	910588670288	0.821359	35.397964
0.006537	2378945452	913473854844	0.824538	35.450897
0.006959	2377371381	916400687626	0.812268	35.607727
0.006541	2376634211	919258621483	0.831592	35.130959
0.006894	2376737577	921936906466	0.887410	32.988949
0.006282	2376031488	924807698540	0.827657	35.128555
0.006894	2376206309	927723105215	0.815051	35.560162
0.006495	2378703507	930614653506	0.822640	35.513985
0.006898	2376422531	933527747857	0.815773	35.508217
0.006698	2376289119	936407271848	0.825237	35.211498
0.006565	2376369458	939085754079	0.887207	33.081932
0.006502	2375969263	941970943290	0.823506	35.447704
0.006931	2377061054	944884203809	0.815945	35.512093
0.006710	2376027286	947787292290	0.818448	35.552734
0.006717	2378477397	950679483112	0.822379	35.305939
0.006954	2375957271	953596366078	0.814553	35.624725
0.006578	2376173993	956473295648	0.825941	35.356136
0.007003	2376694375	959398391175	0.812519	35.599434
0.006523	2376307849	962282630302	0.823894	35.439304
0.006923	2378579683	965175514468	0.822217	35.300751
0.006722	2378788854	967814565211	0.901380	32.770828
0.006514	2378283533	970738517483	0.813380	35.599693
0.006550	2379135288	973619400262	0.825836	35.415001
0.006928	2376184866	976530290334	0.816309	35.478313
0.006741	2376358659	979420482050	0.822215	35.316662
0.006580	2376024303	982292242716	0.827375	35.270645
0.007060	2376075797	985205953597	0.815481	35.483044
0.006541	2377183509	988051624693	0.835368	35.010384
0.007006	2376156803	990958579349	0.817404	35.431400
0.006725	2376288367	993801999984	0.835715	34.746620
0.006547	2376814873	996436781833	0.902092	32.699444
0.006535	2376450614	999291495896	0.832465	34.880981
0.006594	2376899617	1002215040206	0.813020	35.601192
0.006542	2378490812	1005091803067	0.826794	35.380936
0.006969	2376415112	1007976878884	0.823693	35.166679
0.006718	2375817220	1010882093173	0.817777	35.515945
0.006600	2375952357	1013739459470	0.831518	35.152195
0.007049	2376840363	1016626600903	0.823250	35.130054
0.006582	786622817	1017434882934	0.973203	10.247130
0.002451	---------------------------------------------------------
colocating with mcf
gmm
2379138660	3567959153	0.666807	8.909975
0.008036	2379903737	7061190267	0.681290	9.125834
0.008252	2379338478	10519449249	0.688016	8.178787
0.007588	2323383441	13950852944	0.677094	8.353987
0.008894	2305432141	17103834017	0.731191	8.203558
0.008967	2308003245	19714746423	0.883983	32.141918
0.007571	2330980901	22560581404	0.819085	34.867905
0.006797	2376576551	25380488487	0.842785	34.674473
0.006765	2376483714	28180147855	0.848848	34.395130
0.007026	2379130686	31042701667	0.831122	35.072727
0.006510	2377944525	33856721466	0.845035	34.768097
0.006815	2378004980	36735685231	0.825993	35.185589
0.006580	2153386373	40130689717	0.753472	35.252926
0.006738	2363289122	43171841256	0.777971	36.387489
0.004798	2372977704	46026674075	0.831214	35.187656
0.006715	2375695926	48887186682	0.830514	35.055374
